id,text,sentiment,category,urgency,recommended_team,destination,queue,priority_score,reasoning,similar_1,similar_2,similar_3
1,App crashes every time I open it on Android 14. Lost all my data after the latest update. This is unacceptable for a paid app.,negative,bug,critical,engineering,engineering,P0,10,"The user reports a complete app crash and permanent data loss on a specific OS version, which is a critical technical failure.",[synthetic] (dist: 0.000) App crashes every time I open it on Android 14. Lost all my data after the latest update. This is unacceptable for a paid app.,[synthetic] (dist: 0.275) The new pricing is way too expensive. Lost two team members because of it. Reconsidering our subscription.,[synthetic] (dist: 0.279) Documentation is outdated. API endpoints in the docs return 404 errors. Wasted my afternoon.
2,"Would love a dark mode option for the dashboard, especially for late-night use. Eye strain is real.",neutral,feature_request,low,product,product,backlog,3,The user is requesting a new feature (dark mode) to improve the user experience and reduce eye strain.,"[synthetic] (dist: -0.000) Would love a dark mode option for the dashboard, especially for late-night use. Eye strain is real.",[synthetic] (dist: 0.291) Please add keyboard shortcuts. Power users need them to work fast.,[synthetic] (dist: 0.316) An integration with Slack would make this 10x more useful for my team. Please prioritize it.
3,Just got my order in 2 days. Packaging was perfect and product quality is amazing! Will definitely reorder.,positive,praise,low,marketing,marketing,wins_board,3,"The customer expresses high satisfaction with the delivery speed, packaging, and product quality, which serves as a positive testimonial.",[synthetic] (dist: -0.000) Just got my order in 2 days. Packaging was perfect and product quality is amazing! Will definitely reorder.,[amazon] (dist: 0.210) Great service! Items arrived faster than expected. Very efficient! Will use this seller again. I highly recommend this seller! Thank you for the excellent service!,[synthetic] (dist: 0.243) Customer support is fantastic. Got my issue resolved in 10 minutes via chat. Thank you.
4,Why is the loading so slow? Spent 30 seconds waiting for a simple page to render.,negative,complaint,high,engineering,support,priority,7,"The user is reporting a significant performance issue with page load times, which directly impacts usability and requires technical optimization.",[synthetic] (dist: -0.000) Why is the loading so slow? Spent 30 seconds waiting for a simple page to render.,[synthetic] (dist: 0.264) Refund process took 3 weeks. That is way too long for a SaaS company in 2026.,[synthetic] (dist: 0.283) Onboarding flow is confusing. Took me 30 minutes to figure out how to create my first project.
5,The export to CSV button does not work in Safari. Have to use Chrome every time. Annoying.,negative,bug,medium,engineering,engineering,P2,5,"The user is reporting a specific functional failure of the CSV export feature in the Safari browser, which indicates a technical bug.",[synthetic] (dist: 0.000) The export to CSV button does not work in Safari. Have to use Chrome every time. Annoying.,[synthetic] (dist: 0.256) The web app is broken on Firefox v123. Buttons do not render. Had to switch to Chrome.,[synthetic] (dist: 0.306) I love that I hate this app. Cannot stop using it but it frustrates me daily.
6,Can you add multi-language support? Specifically Hindi and Spanish would help a lot in our market.,neutral,feature_request,medium,product,product,backlog,5,The customer is requesting a new capability (multi-language support) to improve the product's utility in their specific market.,[synthetic] (dist: 0.000) Can you add multi-language support? Specifically Hindi and Spanish would help a lot in our market.,[synthetic] (dist: 0.283) Please add keyboard shortcuts. Power users need them to work fast.,[synthetic] (dist: 0.292) An integration with Slack would make this 10x more useful for my team. Please prioritize it.
7,Customer support is fantastic. Got my issue resolved in 10 minutes via chat. Thank you.,positive,praise,low,support,marketing,wins_board,3,The customer is expressing high satisfaction and gratitude for the quick resolution provided by the support team.,[synthetic] (dist: 0.000) Customer support is fantastic. Got my issue resolved in 10 minutes via chat. Thank you.,[synthetic] (dist: 0.243) Just got my order in 2 days. Packaging was perfect and product quality is amazing! Will definitely reorder.,[synthetic] (dist: 0.268) Brilliant product. Switching from Notion was the best decision for our team. Keep shipping.
8,The new pricing is way too expensive. Lost two team members because of it. Reconsidering our subscription.,negative,billing,high,billing,billing,refunds,7,"The customer is dissatisfied with the new pricing and is explicitly threatening to cancel their subscription, indicating a high risk of churn.",[synthetic] (dist: -0.000) The new pricing is way too expensive. Lost two team members because of it. Reconsidering our subscription.,[synthetic] (dist: 0.250) Server downtime yesterday for 4 hours during business hours. We lost client meetings because of it.,[synthetic] (dist: 0.273) Documentation is outdated. API endpoints in the docs return 404 errors. Wasted my afternoon.
9,Payment failed thrice in checkout but money was deducted three times. Need refund ASAP. Order ID 45123.,negative,billing,critical,billing,billing,refunds,10,The customer was charged multiple times for a failed transaction and is requesting an immediate refund.,[synthetic] (dist: -0.000) Payment failed thrice in checkout but money was deducted three times. Need refund ASAP. Order ID 45123.,[synthetic] (dist: 0.253) Charged twice for the same subscription this month. Card statement screenshot attached. Need fix.,[synthetic] (dist: 0.336) Refund process took 3 weeks. That is way too long for a SaaS company in 2026.
10,An integration with Slack would make this 10x more useful for my team. Please prioritize it.,neutral,feature_request,medium,product,product,backlog,5,The customer is requesting a new Slack integration to increase the product's utility for their team.,[synthetic] (dist: 0.000) An integration with Slack would make this 10x more useful for my team. Please prioritize it.,[synthetic] (dist: 0.244) Please add keyboard shortcuts. Power users need them to work fast.,[synthetic] (dist: 0.279) Brilliant product. Switching from Notion was the best decision for our team. Keep shipping.
11,The mobile app keeps logging me out randomly. Have to re-enter password 5 times a day.,negative,bug,high,engineering,engineering,P1,7,"The user is reporting a recurring technical failure where they are randomly logged out of the app, which significantly disrupts the user experience.",[synthetic] (dist: 0.000) The mobile app keeps logging me out randomly. Have to re-enter password 5 times a day.,[synthetic] (dist: 0.289) I love that I hate this app. Cannot stop using it but it frustrates me daily.,[synthetic] (dist: 0.325) The web app is broken on Firefox v123. Buttons do not render. Had to switch to Chrome.
12,"Love the new UI redesign, clean and modern. Team productivity has gone up noticeably.",positive,praise,low,product,marketing,wins_board,3,The customer is expressing high satisfaction with the new UI redesign and its positive impact on team productivity.,"[synthetic] (dist: 0.000) Love the new UI redesign, clean and modern. Team productivity has gone up noticeably.",[synthetic] (dist: 0.223) Brilliant product. Switching from Notion was the best decision for our team. Keep shipping.,[synthetic] (dist: 0.247) Just discovered the API. Built a custom integration in an afternoon. Really well-designed endpoints.
13,The search function returns irrelevant results. Searching for invoice shows me random PDFs.,negative,bug,medium,engineering,engineering,P2,5,"The user is reporting a failure in the search functionality where irrelevant results are returned, indicating a technical bug in the search algorithm.",[synthetic] (dist: 0.000) The search function returns irrelevant results. Searching for invoice shows me random PDFs.,[synthetic] (dist: 0.328) The export to CSV button does not work in Safari. Have to use Chrome every time. Annoying.,[synthetic] (dist: 0.332) Documentation is outdated. API endpoints in the docs return 404 errors. Wasted my afternoon.
