id,text
1,"App crashes every time I open it on Android 14. Lost all my data after the latest update. This is unacceptable for a paid app."
2,"Would love a dark mode option for the dashboard, especially for late-night use. Eye strain is real."
3,"Just got my order in 2 days. Packaging was perfect and product quality is amazing! Will definitely reorder."
4,"Why is the loading so slow? Spent 30 seconds waiting for a simple page to render."
5,"The export to CSV button does not work in Safari. Have to use Chrome every time. Annoying."
6,"Can you add multi-language support? Specifically Hindi and Spanish would help a lot in our market."
7,"Customer support is fantastic. Got my issue resolved in 10 minutes via chat. Thank you."
8,"The new pricing is way too expensive. Lost two team members because of it. Reconsidering our subscription."
9,"Payment failed thrice in checkout but money was deducted three times. Need refund ASAP. Order ID 45123."
10,"An integration with Slack would make this 10x more useful for my team. Please prioritize it."
11,"The mobile app keeps logging me out randomly. Have to re-enter password 5 times a day."
12,"Love the new UI redesign, clean and modern. Team productivity has gone up noticeably."
13,"The search function returns irrelevant results. Searching for invoice shows me random PDFs."
14,"Documentation is outdated. API endpoints in the docs return 404 errors. Wasted my afternoon."
15,"Want a calendar view for my projects not just list view. Would help with planning."
16,"Charged twice for the same subscription this month. Card statement screenshot attached. Need fix."
17,"Onboarding flow is confusing. Took me 30 minutes to figure out how to create my first project."
18,"Brilliant product. Switching from Notion was the best decision for our team. Keep shipping."
19,"Can the AI assistant remember context across sessions? Right now I have to re-explain every time."
20,"Server downtime yesterday for 4 hours during business hours. We lost client meetings because of it."
21,"Please add keyboard shortcuts. Power users need them to work fast."
22,"The web app is broken on Firefox v123. Buttons do not render. Had to switch to Chrome."
23,"Just discovered the API. Built a custom integration in an afternoon. Really well-designed endpoints."
24,"Refund process took 3 weeks. That is way too long for a SaaS company in 2026."
25,"Your competitor offers the same features at half the price. Why should I stay with you?"
26,"Email notifications come 2 hours late. What is the point if I miss the meeting they reference?"
27,"Win, switched our entire 50-person team to your platform last month. Zero issues so far."
28,"Hi I think your product is good but also bad sometimes I am not sure how to say it."
29,"I love that I hate this app. Cannot stop using it but it frustrates me daily."
30,"Buy crypto now! Hot stock tips. Click here for guaranteed returns at scammy-site-example dot com"
